fold,model,setting,roc_auc,pr_auc,brier,recall20
1,LogisticRegression,strict,0.6190078815507579,0.38861205742307525,0.1982702710233871,0.28406388039415564
1,CatBoost,strict,0.6735429703048814,0.45500884388597473,0.18900381672136088,0.33707101597009853
1,XGBoost,strict,0.6467772312252135,0.42470937315711954,0.19810369841828254,0.31124702684335714
1,LightGBM,strict,0.6667228228502456,0.4465435481958646,0.19010037947850678,0.327896704043493
2,LogisticRegression,strict,0.6155089480834194,0.37881412894311284,0.19930925796844284,0.2787219578518015
2,CatBoost,strict,0.6700186826059643,0.44591337781432916,0.19014071685127015,0.32902787219578516
2,XGBoost,strict,0.6502994557781389,0.42567895337605444,0.19744212546319978,0.3086335825968729
2,LightGBM,strict,0.6650715427638434,0.4380901485083805,0.19073241701195834,0.32596872875594834
3,LogisticRegression,strict,0.6122441323970227,0.3778127699256385,0.1994998350318101,0.2780421481985044
3,CatBoost,strict,0.6746718377227845,0.45020206794323125,0.1891781531592209,0.34126444595513256
3,XGBoost,strict,0.6599819808813241,0.433235136554352,0.19520850861435313,0.3174711080897349
3,LightGBM,strict,0.6668507525475088,0.44152418224934564,0.19042547100098042,0.3239292997960571
4,LogisticRegression,strict,0.6095495435490255,0.3770110726880722,0.19979365620605305,0.27532290958531613
4,CatBoost,strict,0.6804046153715188,0.45579689782017674,0.18804635068462427,0.33072739632902787
4,XGBoost,strict,0.6644761429095161,0.43261795787164636,0.19424371740113308,0.31645139360978924
4,LightGBM,strict,0.6783453075687315,0.4482936164382275,0.18851347727278472,0.3283480625424881
5,LogisticRegression,strict,0.6133798457719852,0.38555611957160413,0.19899198484095054,0.27736233854520737
5,CatBoost,strict,0.671324053484097,0.44689126882703595,0.18988820366295686,0.32528891910265123
5,XGBoost,strict,0.6585529961064596,0.4279282145311084,0.1962581460758826,0.31373215499660095
5,LightGBM,strict,0.6670691391768775,0.4406177155968895,0.1904825799940067,0.31985044187627465
1,LogisticRegression,permissive,0.6254794959559364,0.39612349860712415,0.19737404606778786,0.2945973496432212
1,CatBoost,permissive,0.6750889252571484,0.4584320008887815,0.18859292057884655,0.3414882772680938
1,XGBoost,permissive,0.6526635775622334,0.42646043943345924,0.19728766094081626,0.3153244988107373
1,LightGBM,permissive,0.6690890508487463,0.4524004914174167,0.18951835088435168,0.3302752293577982
2,LogisticRegression,permissive,0.6198913258607898,0.3835379989722267,0.19885631724404912,0.2821210061182869
2,CatBoost,permissive,0.6696665715107749,0.4488971109925894,0.19000637404570464,0.3297076818490823
2,XGBoost,permissive,0.6522101343269454,0.4268210134414444,0.19677884217829247,0.31475186947654654
2,LightGBM,permissive,0.6644895703281233,0.4379431401354713,0.19094991817746845,0.32290958531611147
3,LogisticRegression,permissive,0.6206824907245319,0.3860507652693297,0.19838815390921258,0.2868796736913664
3,CatBoost,permissive,0.6783330996205058,0.4560655336381938,0.188387813863209,0.3433038749150238
3,XGBoost,permissive,0.6579195392374214,0.43032314302220914,0.19589481796461053,0.32087015635622024
3,LightGBM,permissive,0.671620926462594,0.45043423076224565,0.18935834565113666,0.32902787219578516
4,LogisticRegression,permissive,0.613642854556937,0.3818863789100322,0.19945713892905084,0.2760027192386132
4,CatBoost,permissive,0.6806028425155034,0.45578238174206925,0.18796293173108425,0.335825968728756
4,XGBoost,permissive,0.6595415358833695,0.42721744369114123,0.19629408483069694,0.3150917743031951
4,LightGBM,permissive,0.676523984595721,0.4471618796854163,0.1889044619001761,0.32766825288919105
5,LogisticRegression,permissive,0.6192869959532288,0.392272883123731,0.1981085197379065,0.2824609109449354
5,CatBoost,permissive,0.6729468218968869,0.4506365239232115,0.18942316291474326,0.32698844323589393
5,XGBoost,permissive,0.6521492724296726,0.42266163235148463,0.19753111367020693,0.31373215499660095
5,LightGBM,permissive,0.6734472074528917,0.44971735340413704,0.1891002363427576,0.3266485384092454
