threshold,profit
0.0,225080.0
0.01,225080.0
0.02,225210.0
0.03,225610.0
0.04,226520.0
0.05,227550.0
0.06,230130.0
0.07,232830.0
0.08,237030.0
0.09,240570.0
0.1,244750.0
0.11,249930.0
0.12,253710.0
0.13,257400.0
0.14,260450.0
0.15,263220.0
0.16,265370.0
0.17,265430.0
0.18,266050.0
0.19,267090.0
0.2,266040.0
0.21,264210.0
0.22,261880.0
0.23,259160.0
0.24,255420.0
0.25,252520.0
0.26,247360.0
0.27,242100.0
0.28,234190.0
0.29,227280.0
0.3,221730.0
0.31,214150.0
0.32,206540.0
0.33,199870.0
0.34,191750.0
0.35000000000000003,183880.0
0.36,175230.0
0.37,165890.0
0.38,158140.0
0.39,149580.0
0.4,141720.0
0.41000000000000003,133980.0
0.42,124420.0
0.43,116900.0
0.44,110480.0
0.45,103910.0
0.46,97580.0
0.47000000000000003,91230.0
0.48,84700.0
0.49,79190.0
0.5,74080.0
0.51,69460.0
0.52,63860.0
0.53,59650.0
0.54,54680.0
0.55,50840.0
0.56,47500.0
0.5700000000000001,44520.0
0.58,41210.0
0.59,37030.0
0.6,34090.0
0.61,30990.0
0.62,27860.0
0.63,25600.0
0.64,23460.0
0.65,21530.0
0.66,19750.0
0.67,17490.0
0.68,15220.0
0.6900000000000001,13740.0
0.7000000000000001,12170.0
0.71,10500.0
0.72,9520.0
0.73,8640.0
0.74,7830.0
0.75,7070.0
0.76,6170.0
0.77,5310.0
0.78,4860.0
0.79,4110.0
0.8,3310.0
0.81,2960.0
0.8200000000000001,2640.0
0.8300000000000001,2360.0
0.84,1910.0
0.85,1500.0
0.86,1320.0
0.87,1090.0
0.88,940.0
0.89,710.0
0.9,510.0
0.91,270.0
0.92,150.0
0.93,110.0
0.9400000000000001,120.0
0.9500000000000001,80.0
0.96,80.0
0.97,0.0
0.98,0.0
0.99,0.0
1.0,0.0
