feature,coefficient
OverageMinutes,0.6993348675099288
CallForwardingCalls,0.5432511377556222
CreditRating_1-Highest,0.4242383425534855
ServiceArea_SFRSCL408,0.41466247392756267
DroppedCalls,0.3418155520033969
HandsetRefurbished_Yes,0.31258216723427906
OutboundCalls,0.2765039932617819
Occupation_Retired,0.256679581613893
MonthlyRevenue,0.24237476163220187
CallWaitingCalls,0.23715806676207207
ChildrenInHH_Yes,0.23447717893812553
CreditRating_2-High,0.22920382911721307
OwnsMotorcycle_Yes,0.22526477134878675
Occupation_infrequent_sklearn,0.22387915694225102
UniqueSubs,0.22350991786631616
BlockedCalls,0.22151392838897144
OptOutMailings_No,0.21696315242965233
RespondsToMailOffers_No,0.21492609930012865
CurrentEquipmentDays,0.20949234265019637
MadeCallToRetentionTeam_Yes,0.20658609286472898
HandsetPrice_150,0.20460882478314238
PrizmCode_Rural,0.19544661285838388
PercChangeRevenues,0.19501747053055563
RetentionCalls,0.19465053249190822
HandsetPrice_200,0.18924337937012045
CreditRating_7-Lowest,0.18456080946178574
PeakCallsInOut,0.18379021141059806
ReferralsMadeBySubscriber,0.18090393132691648
ServiceArea_DALDAL214,0.17408320944575403
MaritalStatus_Unknown,0.1690469868386586
NonUSTravel_No,0.1463631386169416
HandsetPrice_130,0.13429428137645394
ServiceArea_SFRSFR415,0.12388165574323717
ServiceArea_SANSAN210,0.12268740447852429
HasCreditCard_Yes,0.11327678876390672
HandsetPrice_60,0.1120015305609761
TotalRecurringCharge,0.10895295657203756
ServiceArea_NYCQUE917,0.09404671899426972
HandsetModels,0.08925539409035882
RVOwner_Yes,0.08785910926716159
NewCellphoneUser_Yes,0.08503263220469177
UnansweredCalls,0.08449824479190883
AgeHH2,0.07864695379298066
ServiceArea_APCFCH703,0.07441706844672653
MaritalStatus_Yes,0.0737891404358055
RetentionOffersAccepted,0.07255145620869205
TruckOwner_Yes,0.07062367360561257
NotNewCellphoneUser_Yes,0.06843943645412341
BuysViaMailOrder_No,0.06474002995138649
HandsetWebCapable_Yes,0.05923133785062248
OwnsComputer_No,0.058972644450222864
Homeownership_Unknown,0.04659215960661111
Occupation_Clerical,0.04473754652330205
ServiceArea_NYCMAN917,0.039935549167067715
Homeownership_Known,0.03193216912977028
ServiceArea_SFROAK510,0.028932691758809345
ServiceArea_infrequent_sklearn,0.02254066206166539
OwnsComputer_Yes,0.019551684286158135
HandsetWebCapable_No,0.019292990885766505
ServiceArea_SANAUS512,0.017195964241687144
BuysViaMailOrder_Yes,0.013784298784996603
NotNewCellphoneUser_No,0.010084892282257637
TruckOwner_No,0.007900655130769919
PrizmCode_Other,0.0011416123671476044
HandsetPrice_10,-0.0007232612303099323
ServiceArea_ATLANE678,-0.0016243549529023978
NewCellphoneUser_No,-0.006508303468312684
RVOwner_No,-0.009334780530777817
Occupation_Professional,-0.00972335974373578
OffPeakCallsInOut,-0.024222114005758598
HandsetPrice_30,-0.028033099839408146
Occupation_Crafts,-0.03259520102565345
PrizmCode_Suburban,-0.03396631947051341
HasCreditCard_No,-0.03475246002751975
Occupation_Self,-0.04031937536203088
HandsetPrice_100,-0.04705649832748833
HandsetPrice_infrequent_sklearn,-0.053496706983168406
CreditRating_6-VeryLow,-0.057155791362731856
IncomeGroup,-0.061938612655931466
NonUSTravel_Yes,-0.06783880988056079
ActiveSubs,-0.07020038787839232
PrizmCode_Town,-0.08409757701864183
InboundCalls,-0.08464414691922609
ThreewayCalls,-0.08653876576965215
AgeHH1,-0.10434231706171723
RoamingCalls,-0.10525039053967494
ServiceArea_APCSIL301,-0.10783940912201326
MadeCallToRetentionTeam_No,-0.12806176412835063
DirectorAssistedCalls,-0.13143316942991876
RespondsToMailOffers_Yes,-0.13640177056375027
OptOutMailings_Yes,-0.13843882369326577
OwnsMotorcycle_No,-0.1467404426124027
CreditRating_4-Medium,-0.14766728306130877
ServiceArea_ATLATL678,-0.14843210598219725
ChildrenInHH_No,-0.15595285020174132
Handsets,-0.1562417891072318
ServiceArea_NYCBRO917,-0.16061531701006618
MaritalStatus_No,-0.16431179853807673
CreditRating_3-Good,-0.16761103016328022
HandsetPrice_80,-0.16923003963658007
HandsetRefurbished_No,-0.23405783849789952
ReceivedCalls,-0.25376202662786007
AdjustmentsToCreditRating,-0.2572096745799333
HandsetPrice_Unknown,-0.2630840813373577
DroppedBlockedCalls,-0.272975847739336
MonthsInService,-0.2984983694517066
ServiceArea_DALFTW817,-0.30551011664653854
ServiceArea_HOUHOU281,-0.3098377658152034
PercChangeMinutes,-0.3603154427665388
Occupation_Other,-0.36413402021163727
MonthlyMinutes,-0.3675149838682211
CreditRating_5-Low,-0.3870445478087901
